variable,dataset,usable,type,encoding_method,n_unique,n_missing,n_total,sample_values,notes
LBX5AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX6AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX7AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX8AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX9AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBZAL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXCRAL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXI5AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTLAL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX1NP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX2NP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX4BP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXANS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDMN,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOTD,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX4MDA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX4TDA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX5NDA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX6TDA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXPPDA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXAAZ,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXATZ,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDCZ,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDTZ,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXSIS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXSISM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBB1,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBB1LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR1,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR1LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR2,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR2LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR3,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR3LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR4,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR4LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR5,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR5LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR6,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR66,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR66L,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR6LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR7,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR7LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR8,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR8LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR9,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBR9LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBCD,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXUCD,chemicals,TRUE,numeric,none,658,4633,20000,"0.445, 0.01, 0.525, 0.1, 0.485",NA
LBXSCA,chemicals,TRUE,numeric,none,78,7263,20000,"8.75, 9.8, 9.4, 9.9, 9.15",NA
LBXSCA2,chemicals,TRUE,numeric,none,34,17850,20000,"8.5, 9.6, 9.2, 9, 9.5",NA
LBXSCLSI,chemicals,TRUE,numeric,none,384,7262,20000,"107.15, 105.85, 103.4, 107.6, 104.25",NA
LBXSCLSI2,chemicals,TRUE,numeric,none,183,17850,20000,"106, 105.7, 104.4, 103.7, 102.9",NA
LBXBCO,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBCR,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXSCU,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXCOT,chemicals,TRUE,numeric,none,3289,4936,20000,"0.12, 0.222, 0.105, 2.73, 2.99666666666667",NA
LBXHCT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXANBT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXANTT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCOTT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCOXT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXHCTT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXHPBT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNAL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNICT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNNCT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNOXT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXPBA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSEMEA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDEA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDEE,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDHD,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBD199,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX028,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX028LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX044,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX044LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX049,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX049LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX052,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX052LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX066,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX066LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX074,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX074LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX087,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX087LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX099,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX099LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX101,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX101LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX105,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX105LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX110,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX110LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX118,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX118LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX128,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX128LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX138,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX138158,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX138158LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX138LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX146,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX146LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX149,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX149LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX151,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX151LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX153,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX153LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX156,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX156LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX157,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX157LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX167,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX167LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX170,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX170LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX172,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX172LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX177,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX177LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX178,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX178LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX180,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX180LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX183,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX183LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX187,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX187LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX189,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX189LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX194,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX194LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX195,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX195LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX196,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX196203,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX196203LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX196LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX199LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX206,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX206LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX209,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX209LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBHC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBHCLA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD01,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD01LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD02,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD02LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD03,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD03LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD04,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD04LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD05,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD05LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD07,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXD07LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF01,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF01LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF02,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF02LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF03,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF03LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF04,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF04LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF05,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF05LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF06,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF06LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF07,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF07LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF08,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF08LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF09,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF09LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF10,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXF10LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXHXC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXHXCLA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPCB,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPCBLA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTC2,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTC2LA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTCD,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTCDLA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX14D,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX1TB,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URX3TB,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDCB,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOPP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXEOA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSBCEP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSBCPP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSBDCPP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSBPPP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDBUP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDBZP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDCP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDOCP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDPCP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSDPHP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSIPPP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSTBBA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXFOR,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXAAC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXGLP1,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXGLP2,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXHM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXIQ,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXMAAC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNHM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXPHIP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXTRP1,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXTRP2,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBGE,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBGM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXIHG,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXUIO,chemicals,TRUE,numeric,none,867,4883,20000,"25, 48, 282.5, 204, 52",NA
LBXBPB,chemicals,TRUE,numeric,none,394,1861,20000,"2.4, 1.6, 3.7, 2.3, 6.55",NA
LBXBMN,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSCYA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSMEL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXTHG,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXUHG,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXMMASI,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSACET,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSAND,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSCLOT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSIMID,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSOHIM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
SSTHIA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNAB,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNAT,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNNN,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXACE,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXALA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXBSM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCBF,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCCC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCHS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCMH,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXCPM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXDPY,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXEMM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXFRM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXHLS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXMET,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXMMI,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXMSM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXMTM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNOS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOXS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXPIM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXPPX,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXPRO,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXRIM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXSMM,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXSSF,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXTHF,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXTRA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXTRN,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP1,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP2,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP3,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP4,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP5,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXOP6,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXNO3,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXUP8,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
URXSCN,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXBFOA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXEPAH,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXMFOS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXMPAH,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXNFOA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXNFOS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFBS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFDE,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFDO,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFHP,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFHS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFNA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFOA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFOS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFSA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXPFUA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXBFOA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXCLPF,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXDONA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXFHPS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXFPEA,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXGENX,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
VNURXMFOS,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
